,Player,Tm,Pos,Rec,Rec Yds,Rec TDs,Rushes,Rush Yds,Rush TDs,Pass Yds,Pass TDs,Ints,Standard,Half PPR,PPR
8,Ezekiel Elliott,DAL,RB,57.0,370.0,2.2,267.0,1073.0,6.6,0.0,0.0,0.0,197.1,225.6,254.1
9,Aaron Jones,GNB,RB,44.0,332.0,1.9,188.0,1034.0,8.4,0.0,0.0,0.0,198.4,220.4,242.4
10,Cam Akers,LAR,RB,25.0,277.0,2.3,326.0,1407.0,4.5,0.0,0.0,0.0,209.20000000000002,221.70000000000002,234.20000000000002
11,Austin Ekeler,LAC,RB,75.0,557.0,2.8,160.0,733.0,1.4,0.0,0.0,0.0,154.20000000000002,191.70000000000002,229.20000000000002
12,Joe Mixon,CIN,RB,46.0,305.0,2.2,263.0,946.0,6.6,0.0,0.0,0.0,177.9,200.9,223.9
13,Najee Harris,PIT,RB,42.0,341.0,1.2,227.0,954.0,6.3,0.0,0.0,0.0,174.5,195.5,216.5
14,J.K. Dobbins,BAL,RB,23.0,154.0,0.0,172.0,1034.0,11.6,0.0,0.0,0.0,188.4,199.9,211.4
15,Antonio Gibson,WAS,RB,36.0,245.0,0.0,169.0,790.0,10.9,0.0,0.0,0.0,168.9,186.9,204.9
16,D'Andre Swift,DET,RB,48.0,374.0,2.1,119.0,546.0,8.4,0.0,0.0,0.0,155.0,179.0,203.0
17,David Montgomery,CHI,RB,40.0,325.0,1.5,183.0,793.0,5.9,0.0,0.0,0.0,156.20000000000002,176.20000000000002,196.20000000000002
18,Chris Carson,SEA,RB,38.0,298.0,4.1,146.0,706.0,5.2,0.0,0.0,0.0,156.2,175.2,194.2
19,Clyde Edwards-Helaire,KAN,RB,40.0,326.0,1.1,199.0,882.0,4.4,0.0,0.0,0.0,153.8,173.8,193.8
20,Josh Jacobs,LVR,RB,26.0,190.0,0.0,218.0,850.0,9.6,0.0,0.0,0.0,161.6,174.6,187.6
21,Miles Sanders,PHI,RB,30.0,210.0,0.0,175.0,926.0,6.4,0.0,0.0,0.0,152.0,167.0,182.0
22,Myles Gaskin,MIA,RB,43.0,408.0,2.1,149.0,614.0,3.2,0.0,0.0,0.0,134.0,155.5,177.0
23,Mike Davis,ATL,RB,49.0,309.0,1.7,137.0,532.0,5.0,0.0,0.0,0.0,124.30000000000001,148.8,173.3
24,Kareem Hunt,CLE,RB,30.0,237.0,3.9,154.0,656.0,4.7,0.0,0.0,0.0,140.90000000000003,155.90000000000003,170.90000000000003
25,James Robinson,JAC,RB,33.0,232.0,2.0,162.0,723.0,4.7,0.0,0.0,0.0,135.7,152.2,168.7
26,Chase Edmonds,ARI,RB,52.0,394.0,3.9,95.0,439.0,1.0,0.0,0.0,0.0,112.70000000000002,138.70000000000002,164.70000000000002
27,Javonte Williams,DEN,RB,32.0,254.0,0.9,169.0,711.0,4.7,0.0,0.0,0.0,130.10000000000002,146.10000000000002,162.10000000000002
28,Raheem Mostert,SFO,RB,25.0,247.0,1.6,165.0,826.0,3.2,0.0,0.0,0.0,136.10000000000002,148.60000000000002,161.10000000000002
29,Travis Etienne,JAC,RB,31.0,252.0,0.9,168.0,706.0,4.7,0.0,0.0,0.0,129.40000000000003,144.90000000000003,160.40000000000003
30,Michael Carter,NYJ,RB,31.0,247.0,0.9,165.0,693.0,4.6,0.0,0.0,0.0,127.0,142.5,158.0
31,James Conner,ARI,RB,32.0,197.0,0.0,155.0,660.0,5.5,0.0,0.0,0.0,118.7,134.7,150.7
32,Damien Harris,NWE,RB,8.0,84.0,0.0,220.0,1112.0,3.2,0.0,0.0,0.0,138.8,142.8,146.8
33,Kenyan Drake,LVR,RB,18.0,100.0,0.0,175.0,698.0,7.3,0.0,0.0,0.0,123.6,132.6,141.6
34,Ronald Jones,TB,RB,21.0,122.0,0.7,142.0,725.0,5.2,0.0,0.0,0.0,120.10000000000001,130.60000000000002,141.10000000000002
35,Leonard Fournette,TB,RB,38.0,245.0,0.0,102.0,386.0,6.3,0.0,0.0,0.0,100.9,119.9,138.9
36,Zack Moss,BUF,RB,19.0,127.0,1.3,150.0,645.0,5.4,0.0,0.0,0.0,117.4,126.9,136.4
37,David Johnson,HOU,RB,24.0,232.0,1.5,109.0,510.0,4.4,0.0,0.0,0.0,109.60000000000001,121.60000000000001,133.60000000000002
38,Devin Singletary,BUF,RB,34.0,243.0,0.0,141.0,621.0,1.8,0.0,0.0,0.0,97.2,114.2,131.2
39,Trey Sermon,SFO,RB,25.0,202.0,0.7,134.0,565.0,3.8,0.0,0.0,0.0,103.7,116.2,128.7
40,Melvin Gordon,DEN,RB,19.0,95.0,0.6,129.0,591.0,5.4,0.0,0.0,0.0,104.60000000000001,114.10000000000001,123.60000000000001
41,Phillip Lindsay,HOU,RB,13.0,51.0,0.0,216.0,920.0,1.8,0.0,0.0,0.0,107.89999999999999,114.39999999999999,120.89999999999999
42,Tarik Cohen,CHI,RB,34.0,444.0,2.9,62.0,207.0,0.0,0.0,0.0,0.0,82.5,99.5,116.5
43,Jamaal Williams,DET,RB,28.0,216.0,0.9,109.0,463.0,1.8,0.0,0.0,0.0,84.10000000000001,98.10000000000001,112.10000000000001
44,A.J. Dillon,GNB,RB,5.0,57.0,0.0,125.0,659.0,5.4,0.0,0.0,0.0,104.00000000000001,106.50000000000001,109.00000000000001
45,Nyheim Hines,IND,RB,35.0,271.0,2.3,50.0,214.0,1.7,0.0,0.0,0.0,72.5,90.0,107.5
46,Tony Pollard,DAL,RB,24.0,165.0,0.9,87.0,373.0,3.4,0.0,0.0,0.0,79.6,91.6,103.6
47,Giovani Bernard,TB,RB,30.0,227.0,1.9,79.0,266.0,1.9,0.0,0.0,0.0,72.1,87.1,102.1
48,J.D. McKissic,WAS,RB,30.0,372.0,1.3,54.0,231.0,0.6,0.0,0.0,0.0,71.69999999999999,86.69999999999999,101.69999999999999
49,Latavius Murray,NOR,RB,17.0,129.0,0.7,107.0,480.0,2.9,0.0,0.0,0.0,82.5,91.0,99.5
50,James White,NWE,RB,28.0,379.0,1.0,35.0,122.0,2.0,0.0,0.0,0.0,68.1,82.1,96.1
51,Darrell Henderson,LAR,RB,12.0,116.0,0.7,101.0,457.0,3.7,0.0,0.0,0.0,83.7,89.7,95.7
52,Rashaad Penny,SEA,RB,18.0,146.0,0.5,97.0,410.0,2.7,0.0,0.0,0.0,74.80000000000001,83.80000000000001,92.80000000000001
53,Kenneth Gainwell,PHI,RB,18.0,142.0,0.5,94.0,397.0,2.6,0.0,0.0,0.0,72.5,81.5,90.5
54,Marlon Mack,IND,RB,7.0,40.0,0.0,122.0,538.0,3.9,0.0,0.0,0.0,81.2,84.7,88.2
55,Alexander Mattison,MIN,RB,13.0,125.0,1.0,96.0,434.0,2.0,0.0,0.0,0.0,73.9,80.4,86.9
56,Tevin Coleman,NYJ,RB,17.0,135.0,0.5,90.0,378.0,2.5,0.0,0.0,0.0,69.30000000000001,77.80000000000001,86.30000000000001
