season,team,player_name,gsis_id,snaps,team_snaps,games_played,targets,receptions,rec_yards,rec_tds,air_yards,rush_att,rush_yards,rush_tds,pass_att,pass_yards,pass_tds,fmb,int,standard_fp,ppr_fp,half_ppr_fp
2013,ATL,josh vaughan,00-0026644,5,423,6.0,1.0,1.0,-5.0,0.0,-5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.6,0.09999999999999998
2013,TEN,darius reynaud,00-0025951,4,589,9.0,2.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6,-0.6000000000000001,-1.1
2013,BUF,ronnie wingo,00-0029791,4,138,2.0,1.0,1.0,2.0,0.0,-4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.6,1.1
2014,CHI,matt forte,00-0026184,976,1058,16.0,130.0,102.0,808.0,4.0,55.0,266.0,1038.0,6.0,0.0,0.0,0.0,2.0,0.0,240.60000000000002,342.6,291.6
2014,PIT,le'veon bell,00-0030496,929,1113,16.0,105.0,83.0,854.0,3.0,108.0,290.0,1361.0,8.0,0.0,0.0,0.0,0.0,0.0,287.5,370.5,329.0
2014,DAL,demarco murray,00-0028009,783,1059,16.0,64.0,57.0,416.0,0.0,-80.0,392.0,1845.0,13.0,0.0,0.0,0.0,6.0,0.0,292.1,349.1,320.6
2014,PHI,lesean mccoy,00-0027029,775,1176,16.0,37.0,28.0,155.0,0.0,-36.0,312.0,1319.0,5.0,0.0,0.0,0.0,4.0,0.0,169.4,197.4,183.4
2014,BAL,justin forsett,00-0026373,707,1076,16.0,59.0,44.0,263.0,0.0,-55.0,235.0,1266.0,8.0,0.0,0.0,0.0,2.0,0.0,196.9,240.9,218.9
2014,SEA,marshawn lynch,00-0025399,704,1057,16.0,48.0,37.0,367.0,4.0,58.0,280.0,1306.0,13.0,0.0,0.0,0.0,4.0,0.0,261.3,298.3,279.8
2014,GB,eddie lacy,00-0030485,687,1050,16.0,55.0,42.0,427.0,4.0,-15.0,246.0,1139.0,9.0,0.0,0.0,0.0,3.0,0.0,228.60000000000002,270.6,249.60000000000002
2014,KC,jamaal charles,00-0026213,650,935,15.0,59.0,40.0,291.0,5.0,-31.0,206.0,1033.0,9.0,0.0,0.0,0.0,5.0,0.0,206.4,246.4,226.4
2014,SF,frank gore,00-0023500,647,1058,16.0,19.0,11.0,111.0,1.0,84.0,255.0,1106.0,4.0,0.0,0.0,0.0,2.0,0.0,147.70000000000002,158.70000000000002,153.20000000000002
2014,MIA,lamar miller,00-0029615,642,1095,16.0,52.0,38.0,275.0,1.0,73.0,216.0,1099.0,8.0,0.0,0.0,0.0,3.0,0.0,185.4,223.4,204.4
2014,HOU,arian foster,00-0026796,621,891,13.0,59.0,38.0,327.0,5.0,175.0,260.0,1246.0,8.0,1.0,5.0,1.0,2.0,0.0,235.5,273.5,254.5
2014,DET,joique bell,00-0027218,615,1031,15.0,53.0,34.0,322.0,1.0,9.0,223.0,860.0,7.0,0.0,0.0,0.0,5.0,0.0,156.2,190.2,173.2
2014,WAS,alfred morris,00-0029141,595,1054,16.0,26.0,17.0,155.0,0.0,18.0,265.0,1074.0,8.0,0.0,0.0,0.0,2.0,0.0,166.9,183.9,175.4
2014,NE,shane vereen,00-0027994,595,1131,16.0,77.0,52.0,447.0,3.0,288.0,96.0,391.0,2.0,0.0,0.0,0.0,0.0,0.0,113.80000000000001,165.8,139.8
2014,BUF,fred jackson,00-0024204,548,945,14.0,90.0,66.0,501.0,1.0,-67.0,141.0,525.0,2.0,1.0,0.0,0.0,5.0,0.0,110.6,176.6,143.6
2014,CAR,jonathan stewart,00-0026153,546,888,13.0,31.0,25.0,181.0,1.0,-68.0,175.0,809.0,3.0,0.0,0.0,0.0,3.0,0.0,117.0,142.0,129.5
2014,ARI,andre ellington,00-0030287,528,783,12.0,64.0,46.0,395.0,2.0,113.0,201.0,660.0,3.0,0.0,0.0,0.0,2.0,0.0,131.5,177.5,154.5
2014,MIN,matt asiata,00-0028198,525,956,15.0,63.0,44.0,312.0,1.0,-1.0,164.0,570.0,9.0,0.0,0.0,0.0,1.0,0.0,146.2,190.2,168.2
