Player,Team,Value,Value Rank,ADP Rank,Diff in ADP and Value,FantasyPoints
Tyrion Davis-Price,SF,0.41074814024660083,391.0,352.0,-39.0,17.96
Justice Hill,BAL,0.41007271321368194,395.0,341.0,-54.0,17.670000000000005
Cedric Tillman,CLE,0.40313211818575656,418.0,337.0,-81.0,34.88
Calvin Austin III,PIT,0.38240349545134844,474.0,327.5,-146.5,25.98
Justyn Ross,KC,0.3756026439474752,490.0,219.0,-271.0,23.06
Cole Beasley,NYG,0.36984986887399346,497.0,216.0,-281.0,20.59
Jacoby Brissett,WAS,0.1782009418713522,596.0,269.5,-326.5,73.56600000000002
Kyle Trask,TB,0.1695741083198636,597.0,251.0,-346.0,69.862
Colt McCoy,ARI,0.16359308549042986,598.0,243.0,-355.0,67.294
Will Levis,TEN,0.12958882797106383,599.0,281.5,-317.5,52.694
Trey Lance,SF,0.12079896030818112,600.0,248.5,-351.5,48.92
Gardner Minshew II,IND,0.09008799183897825,603.0,266.0,-337.0,35.734
Mike White,MIA,0.07558261404236097,604.0,261.0,-343.0,29.506
Davis Mills,HOU,0.05858980151761473,610.0,257.5,-352.5,22.21
Josh Johnson,BAL,0.006861407030962567,651.0,331.0,-320.0,0.0
